# version = 29.1.1, Request ID = WFC3UVIS.sp.1486051
# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
4328.0000,45,2.5745,97.077,1.2132e+05,1.2142e+05
4342.0000,45,2.5745,97.077,1.1682e+05,1.1692e+05
4356.0000,45,2.5745,97.077,1.1931e+05,1.1941e+05
4370.0000,45,2.5745,97.077,1.3269e+05,1.3279e+05
4384.0000,45,2.5745,97.077,1.3068e+05,1.3078e+05
4398.0000,45,2.5745,97.077,1.2913e+05,1.2923e+05
4412.0000,45,2.5745,97.077,1.2963e+05,1.2973e+05
4426.0000,45,2.5745,97.077,1.2942e+05,1.2952e+05
4440.0000,45,2.5745,97.077,1.2877e+05,1.2887e+05
4454.0000,45,2.5745,97.077,1.2856e+05,1.2866e+05
4468.0000,45,2.5745,97.077,1.2974e+05,1.2984e+05
4482.0000,45,2.5745,97.077,1.2937e+05,1.2947e+05
4496.0000,45,2.5745,97.077,1.311e+05,1.312e+05
4510.0000,45,2.5745,97.077,1.3477e+05,1.3486e+05
4524.0000,45,2.5745,97.077,1.2942e+05,1.2952e+05
4538.0000,45,2.5745,97.077,1.2689e+05,1.2699e+05
4552.0000,45,2.5745,97.077,1.2838e+05,1.2848e+05
4566.0000,45,2.5745,97.077,1.3219e+05,1.3229e+05
4580.0000,0,2.5745,97.077,1.3017e+05,1.3027e+05
4594.0000,0,2.5745,97.077,1.2737e+05,1.2747e+05
4608.0000,0,2.5745,97.077,1.2877e+05,1.2887e+05
4622.0000,0,2.5745,97.077,1.2774e+05,1.2784e+05
4636.0000,0,2.5745,97.077,1.2699e+05,1.2708e+05
4650.0000,0,2.5745,97.077,1.2773e+05,1.2783e+05
4664.0000,0,2.5745,97.077,1.2884e+05,1.2894e+05
4678.0000,0,2.5745,97.077,1.2796e+05,1.2806e+05
4692.0000,0,2.5745,97.077,1.2519e+05,1.2529e+05
4706.0000,0,2.5745,97.077,1.2179e+05,1.2189e+05
4720.0000,0,2.5745,97.077,1.2336e+05,1.2346e+05
4734.0000,0,2.5745,97.077,1.2614e+05,1.2624e+05
4748.0000,0,2.5745,97.077,1.2655e+05,1.2665e+05
4762.0000,0,2.5745,97.077,1.2594e+05,1.2604e+05
4776.0000,0,2.5745,97.077,1.2515e+05,1.2525e+05
4790.0000,0,2.5745,97.077,1.2444e+05,1.2454e+05
4804.0000,0,2.5745,97.077,1.2332e+05,1.2342e+05
4818.0000,0,2.5745,97.077,1.2257e+05,1.2267e+05
4832.0000,0,2.5745,97.077,1.2041e+05,1.2051e+05
4846.0000,0,2.5745,97.077,1.1214e+05,1.1224e+05
4860.0000,0,2.5745,97.077,1.0173e+05,1.0183e+05
4874.0000,0,2.5745,97.077,98634,98734
4888.0000,0,2.5745,97.077,1.1189e+05,1.1199e+05
4902.0000,0,2.5745,97.077,1.1509e+05,1.1519e+05
4916.0000,0,2.5745,97.077,1.1427e+05,1.1437e+05
4930.0000,0,2.5745,97.077,1.1284e+05,1.1294e+05
4944.0000,0,2.5745,97.077,1.1403e+05,1.1413e+05
4958.0000,0,2.5745,97.077,1.1475e+05,1.1485e+05
4972.0000,0,2.5745,97.077,1.1373e+05,1.1383e+05
4986.0000,0,2.5745,97.077,1.0901e+05,1.0911e+05
5000.0000,0,2.5745,97.077,1.0532e+05,1.0542e+05
5014.0000,0,2.5745,97.077,1.043e+05,1.044e+05
5028.0000,0,2.5745,97.077,1.0706e+05,1.0716e+05
5042.0000,0,2.5745,97.077,1.0713e+05,1.0723e+05
5056.0000,0,2.5745,97.077,1.0752e+05,1.0762e+05
5070.0000,0,2.5745,97.077,1.0883e+05,1.0893e+05
5084.0000,0,2.5745,97.077,1.0706e+05,1.0716e+05
5098.0000,0,2.5745,97.077,1.0626e+05,1.0636e+05
5112.0000,0,2.5745,97.077,1.059e+05,1.06e+05
5126.0000,0,2.5745,97.077,1.0375e+05,1.0385e+05
5140.0000,0,2.5745,97.077,1.0154e+05,1.0164e+05
5154.0000,0,2.5745,97.077,99088,99187
5168.0000,0,2.5745,97.077,96333,96433
5182.0000,0,2.5745,97.077,94846,94945
5196.0000,0,2.5745,97.077,94889,94988
5210.0000,0,2.5745,97.077,96403,96503
5224.0000,0,2.5745,97.077,96772,96871
5238.0000,0,2.5745,97.077,97308,97407
5252.0000,0,2.5745,97.077,96686,96786
5266.0000,0,2.5745,97.077,91262,91361
5280.0000,0,2.5745,97.077,92475,92575
5294.0000,0,2.5745,97.077,95645,95744
5308.0000,0,2.5745,97.077,95825,95924
5322.0000,0,2.5745,97.077,92473,92573
5336.0000,0,2.5745,97.077,91211,91311
5350.0000,0,2.5745,97.077,93553,93652
5364.0000,0,2.5745,97.077,93490,93589
5378.0000,0,2.5745,97.077,92805,92905
5392.0000,0,2.5745,97.077,91725,91825
5406.0000,0,2.5745,97.077,89905,90005
5420.0000,0,2.5745,97.077,89982,90082
5434.0000,0,2.5745,97.077,90866,90966
5448.0000,0,2.5745,97.077,91423,91522
5462.0000,0,2.5745,97.077,90578,90677
5476.0000,0,2.5745,97.077,89596,89695
5490.0000,0,2.5745,97.077,88995,89095
5504.0000,0,2.5745,97.077,88678,88778
5518.0000,0,2.5745,97.077,88381,88480
5532.0000,0,2.5745,97.077,88158,88258
5546.0000,0,2.5745,97.077,88228,88328
5560.0000,0,2.5745,97.077,87181,87281
5574.0000,0,2.5745,97.077,85746,85846
5588.0000,0,2.5745,97.077,84760,84860
5602.0000,0,2.5745,97.077,84916,85016
5616.0000,0,2.5745,97.077,85160,85260
5630.0000,0,2.5745,97.077,85029,85128
5644.0000,0,2.5745,97.077,84345,84444
5658.0000,0,2.5745,97.077,83200,83300
5672.0000,0,2.5745,97.077,82116,82215
5686.0000,0,2.5745,97.077,82193,82293
5700.0000,0,2.5745,97.077,81584,81683
5714.0000,0,2.5745,97.077,81388,81488
5728.0000,0,2.5745,97.077,82608,82708
5742.0000,0,2.5745,97.077,81586,81686
5756.0000,0,2.5745,97.077,80610,80709
5770.0000,0,2.5745,97.077,80377,80476
5784.0000,0,2.5745,97.077,79314,79413
5798.0000,0,2.5745,97.077,78835,78935
5812.0000,0,2.5745,97.077,78868,78968
5826.0000,0,2.5745,97.077,78721,78820
5840.0000,0,2.5745,97.077,77846,77946
5854.0000,0,2.5745,97.077,76924,77024
5868.0000,0,2.5745,97.077,76438,76537
5882.0000,0,2.5745,97.077,74664,74764
5896.0000,0,2.5745,97.077,73884,73984
5910.0000,0,2.5745,97.077,74637,74736
5924.0000,0,2.5745,97.077,74273,74373
5938.0000,0,2.5745,97.077,73838,73938
5952.0000,0,2.5745,97.077,73462,73561
5966.0000,0,2.5745,97.077,72992,73092
5980.0000,0,2.5745,97.077,72266,72366
5994.0000,0,2.5745,97.077,71440,71540
6008.0000,0,2.5745,97.077,70616,70716
6022.0000,0,2.5745,97.077,70217,70317
6036.0000,0,2.5745,97.077,70098,70198
6050.0000,0,2.5745,97.077,70189,70289
6064.0000,0,2.5745,97.077,69910,70010
6078.0000,0,2.5745,97.077,69205,69304
6092.0000,0,2.5745,97.077,68265,68365
6106.0000,0,2.5745,97.077,67478,67578
6120.0000,0,2.5745,97.077,66328,66428
6134.0000,0,2.5745,97.077,65319,65419
6148.0000,0,2.5745,97.077,64981,65081
6162.0000,0,2.5745,97.077,64171,64270
6176.0000,0,2.5745,97.077,64143,64242
6190.0000,0,2.5745,97.077,65080,65180
6204.0000,0,2.5745,97.077,64951,65050
6218.0000,0,2.5745,97.077,64206,64306
6232.0000,0,2.5745,97.077,63071,63171
6246.0000,0,2.5745,97.077,61631,61731
6260.0000,0,2.5745,97.077,61957,62056
6274.0000,0,2.5745,97.077,62674,62774
6288.0000,0,2.5745,97.077,62362,62462
6302.0000,0,2.5745,97.077,61273,61373
6316.0000,0,2.5745,97.077,60504,60604
6330.0000,0,2.5745,97.077,60323,60423
6344.0000,0,2.5745,97.077,59925,60024
6358.0000,0,2.5745,97.077,59514,59613
6372.0000,0,2.5745,97.077,59139,59238
