# version = 29.1.1, Request ID = WFC3UVIS.sp.1486058
# HAT-P-23, Vmag = 11.94, exptime = 237s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
6694.0000,0,3.2113,121.09,41007,41132
6708.0000,0,3.2113,121.09,40386,40510
6722.0000,0,3.2113,121.09,40230,40355
6736.0000,0,3.2113,121.09,39985,40109
6750.0000,0,3.2113,121.09,39521,39645
6764.0000,0,3.2113,121.09,39243,39367
6778.0000,0,3.2113,121.09,38968,39093
6792.0000,0,3.2113,121.09,38619,38743
6806.0000,0,3.2113,121.09,38257,38382
6820.0000,0,3.2113,121.09,38041,38165
6834.0000,0,3.2113,121.09,37758,37882
6848.0000,0,3.2113,121.09,37144,37268
6862.0000,0,3.2113,121.09,36987,37111
6876.0000,0,3.2113,121.09,36873,36997
6890.0000,0,3.2113,121.09,36649,36773
6904.0000,0,3.2113,121.09,36303,36427
6918.0000,0,3.2113,121.09,36004,36128
6932.0000,0,3.2113,121.09,35713,35838
6946.0000,0,3.2113,121.09,35423,35548
6960.0000,0,3.2113,121.09,35182,35306
6974.0000,0,3.2113,121.09,34947,35071
6988.0000,0,3.2113,121.09,34644,34769
7002.0000,0,3.2113,121.09,33960,34085
7016.0000,0,3.2113,121.09,33524,33648
7030.0000,0,3.2113,121.09,33556,33680
7044.0000,0,3.2113,121.09,33413,33537
7058.0000,0,3.2113,121.09,33099,33224
7072.0000,0,3.2113,121.09,32713,32838
7086.0000,0,3.2113,121.09,32381,32505
7100.0000,0,3.2113,121.09,32092,32217
7114.0000,0,3.2113,121.09,31782,31906
7128.0000,0,3.2113,121.09,31338,31463
7142.0000,0,3.2113,121.09,30974,31099
7156.0000,0,3.2113,121.09,30654,30778
7170.0000,0,3.2113,121.09,30318,30443
7184.0000,0,3.2113,121.09,29732,29856
7198.0000,0,3.2113,121.09,29491,29616
7212.0000,0,3.2113,121.09,29496,29620
7226.0000,0,3.2113,121.09,29277,29401
7240.0000,0,3.2113,121.09,29081,29205
7254.0000,0,3.2113,121.09,28876,29001
7268.0000,0,3.2113,121.09,28575,28699
7282.0000,0,3.2113,121.09,27996,28120
7296.0000,0,3.2113,121.09,27623,27747
7310.0000,0,3.2113,121.09,27592,27716
7324.0000,0,3.2113,121.09,27330,27454
7338.0000,0,3.2113,121.09,27106,27230
7352.0000,0,3.2113,121.09,26922,27046
7366.0000,0,3.2113,121.09,26680,26804
7380.0000,0,3.2113,121.09,26196,26321
7394.0000,0,3.2113,121.09,25651,25776
7408.0000,0,3.2113,121.09,25242,25367
7422.0000,0,3.2113,121.09,25119,25243
7436.0000,0,3.2113,121.09,25018,25143
7450.0000,0,3.2113,121.09,24859,24983
7464.0000,0,3.2113,121.09,24756,24880
7478.0000,0,3.2113,121.09,24523,24647
7492.0000,0,3.2113,121.09,24217,24341
7506.0000,0,3.2113,121.09,23999,24124
7520.0000,0,3.2113,121.09,23748,23873
7534.0000,0,3.2113,121.09,23500,23624
7548.0000,0,3.2113,121.09,23262,23386
7562.0000,0,3.2113,121.09,22912,23036
7576.0000,0,3.2113,121.09,22578,22703
7590.0000,0,3.2113,121.09,22303,22427
7604.0000,0,3.2113,121.09,21989,22114
7618.0000,0,3.2113,121.09,21734,21859
7632.0000,0,3.2113,121.09,21521,21645
7646.0000,0,3.2113,121.09,21192,21316
7660.0000,0,3.2113,121.09,20693,20817
7674.0000,0,3.2113,121.09,20287,20411
7688.0000,0,3.2113,121.09,20199,20324
7702.0000,0,3.2113,121.09,19883,20007
7716.0000,0,3.2113,121.09,19567,19691
7730.0000,0,3.2113,121.09,19310,19434
7744.0000,0,3.2113,121.09,18942,19066
7758.0000,0,3.2113,121.09,18690,18814
7772.0000,0,3.2113,121.09,18522,18646
7786.0000,0,3.2113,121.09,18320,18445
7800.0000,0,3.2113,121.09,18047,18172
7814.0000,0,3.2113,121.09,17733,17857
7828.0000,0,3.2113,121.09,17398,17522
7842.0000,0,3.2113,121.09,17148,17273
7856.0000,0,3.2113,121.09,16966,17090
7870.0000,0,3.2113,121.09,16816,16941
7884.0000,0,3.2113,121.09,16581,16706
7898.0000,0,3.2113,121.09,16288,16412
7912.0000,0,3.2113,121.09,15964,16089
7926.0000,0,3.2113,121.09,15590,15714
7940.0000,0,3.2113,121.09,15357,15482
7954.0000,0,3.2113,121.09,15226,15350
7968.0000,0,3.2113,121.09,15156,15281
7982.0000,0,3.2113,121.09,14986,15111
7996.0000,0,3.2113,121.09,14752,14876
8010.0000,0,3.2113,121.09,14470,14594
8024.0000,0,3.2113,121.09,14252,14376
8038.0000,0,3.2113,121.09,14031,14156
8052.0000,0,3.2113,121.09,13816,13940
8066.0000,0,3.2113,121.09,13691,13815
8080.0000,0,3.2113,121.09,13444,13568
