# version = 29.1.1, Request ID = WFC3UVIS.sp.1486054
# HAT-P-23, Vmag = 11.94, exptime = 190s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
2942.0000,45,2.5745,97.077,35006,35106
2956.0000,45,2.5745,97.077,35486,35585
2970.0000,45,2.5745,97.077,37128,37228
2984.0000,45,2.5745,97.077,37178,37278
2998.0000,45,2.5745,97.077,37577,37677
3012.0000,45,2.5745,97.077,38595,38694
3026.0000,45,2.5745,97.077,40181,40281
3040.0000,45,2.5745,97.077,41532,41631
3054.0000,45,2.5745,97.077,42594,42694
3068.0000,45,2.5745,97.077,43160,43260
3082.0000,45,2.5745,97.077,42358,42458
3096.0000,45,2.5745,97.077,42830,42930
3110.0000,45,2.5745,97.077,44754,44853
3124.0000,45,2.5745,97.077,43742,43842
3138.0000,45,2.5745,97.077,42107,42207
3152.0000,45,2.5745,97.077,41123,41223
3166.0000,45,2.5745,97.077,42684,42784
3180.0000,45,2.5745,97.077,40807,40907
3194.0000,45,2.5745,97.077,39228,39328
3208.0000,45,2.5745,97.077,41335,41435
3222.0000,45,2.5745,97.077,37691,37791
3236.0000,45,2.5745,97.077,38069,38169
3250.0000,45,2.5745,97.077,45391,45491
3264.0000,45,2.5745,97.077,50557,50657
3278.0000,45,2.5745,97.077,51626,51725
3292.0000,45,2.5745,97.077,49969,50069
3306.0000,45,2.5745,97.077,48766,48866
3320.0000,45,2.5745,97.077,48605,48704
3334.0000,45,2.5745,97.077,48470,48569
3348.0000,45,2.5745,97.077,47252,47352
3362.0000,45,2.5745,97.077,41690,41789
3376.0000,45,2.5745,97.077,39530,39630
3390.0000,45,2.5745,97.077,42966,43065
3404.0000,45,2.5745,97.077,43745,43845
3418.0000,45,2.5745,97.077,44232,44332
3432.0000,45,2.5745,97.077,45003,45103
3446.0000,45,2.5745,97.077,45793,45893
3460.0000,45,2.5745,97.077,46320,46419
3474.0000,45,2.5745,97.077,47134,47234
3488.0000,45,2.5745,97.077,48842,48941
3502.0000,45,2.5745,97.077,49831,49930
3516.0000,45,2.5745,97.077,48786,48886
3530.0000,45,2.5745,97.077,46556,46655
3544.0000,45,2.5745,97.077,49731,49830
3558.0000,45,2.5745,97.077,46338,46438
3572.0000,45,2.5745,97.077,39181,39280
3586.0000,45,2.5745,97.077,38042,38141
3600.0000,45,2.5745,97.077,39298,39397
3614.0000,45,2.5745,97.077,40905,41005
3628.0000,45,2.5745,97.077,40951,41051
3642.0000,45,2.5745,97.077,42538,42638
3656.0000,45,2.5745,97.077,46305,46405
3670.0000,45,2.5745,97.077,46220,46320
3684.0000,45,2.5745,97.077,44842,44942
3698.0000,45,2.5745,97.077,44718,44817
3712.0000,45,2.5745,97.077,44461,44561
3726.0000,45,2.5745,97.077,38750,38850
3740.0000,45,2.5745,97.077,38846,38945
3754.0000,45,2.5745,97.077,42446,42546
3768.0000,45,2.5745,97.077,47072,47172
3782.0000,45,2.5745,97.077,49759,49859
3796.0000,45,2.5745,97.077,51278,51378
