# version = 29.1.1, Request ID = WFC3UVIS.sp.1486056
# HAT-P-41, Vmag = 11.4, exptime = 1s, Teff = 6500K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
2452.0000,45,0.01355,0.51093,225.49,226.01
2466.0000,45,0.01355,0.51093,199.17,199.7
2480.0000,45,0.01355,0.51093,153.04,153.57
2494.0000,45,0.01355,0.51093,149.4,149.92
2508.0000,45,0.01355,0.51093,167.15,167.67
2522.0000,45,0.01355,0.51093,82.337,82.861
2536.0000,45,0.01355,0.51093,82.721,83.245
2550.0000,45,0.01355,0.51093,132.12,132.65
2564.0000,45,0.01355,0.51093,152.02,152.55
2578.0000,45,0.01355,0.51093,171.48,172
2592.0000,45,0.01355,0.51093,145.38,145.9
2606.0000,45,0.01355,0.51093,112.55,113.07
2620.0000,45,0.01355,0.51093,122.72,123.25
2634.0000,45,0.01355,0.51093,222.06,222.58
2648.0000,45,0.01355,0.51093,336.16,336.69
2662.0000,45,0.01355,0.51093,295.71,296.24
2676.0000,45,0.01355,0.51093,282.82,283.34
2690.0000,45,0.01355,0.51093,267.37,267.9
2704.0000,45,0.01355,0.51093,258.95,259.47
2718.0000,45,0.01355,0.51093,208.44,208.96
2732.0000,45,0.01355,0.51093,208.38,208.91
2746.0000,45,0.01355,0.51093,132.45,132.97
2760.0000,45,0.01355,0.51093,170.89,171.41
2774.0000,45,0.01355,0.51093,206.14,206.66
2788.0000,45,0.01355,0.51093,101.53,102.05
2802.0000,45,0.01355,0.51093,57.015,57.54
2816.0000,45,0.01355,0.51093,207.28,207.8
2830.0000,45,0.01355,0.51093,300.19,300.71
2844.0000,45,0.01355,0.51093,250.95,251.48
2858.0000,45,0.01355,0.51093,210.1,210.62
2872.0000,45,0.01355,0.51093,324.25,324.77
2886.0000,45,0.01355,0.51093,316.74,317.27
2900.0000,45,0.01355,0.51093,356.63,357.15
2914.0000,45,0.01355,0.51093,409.4,409.92
2928.0000,45,0.01355,0.51093,385.27,385.8
2942.0000,45,0.01355,0.51093,376.59,377.11
2956.0000,45,0.01355,0.51093,388.19,388.71
2970.0000,45,0.01355,0.51093,414.9,415.42
2984.0000,45,0.01355,0.51093,416.81,417.33
2998.0000,45,0.01355,0.51093,427.4,427.92
3012.0000,45,0.01355,0.51093,443.2,443.72
3026.0000,45,0.01355,0.51093,443.84,444.36
3040.0000,45,0.01355,0.51093,450.63,451.16
3054.0000,45,0.01355,0.51093,458.1,458.63
3068.0000,45,0.01355,0.51093,459.72,460.25
3082.0000,45,0.01355,0.51093,467.79,468.31
3096.0000,45,0.01355,0.51093,472.84,473.37
3110.0000,45,0.01355,0.51093,468.63,469.16
3124.0000,45,0.01355,0.51093,461.26,461.79
3138.0000,45,0.01355,0.51093,453.72,454.24
3152.0000,45,0.01355,0.51093,449.68,450.21
3166.0000,45,0.01355,0.51093,456.48,457
3180.0000,45,0.01355,0.51093,435.06,435.59
3194.0000,45,0.01355,0.51093,419.12,419.64
3208.0000,45,0.01355,0.51093,438.68,439.2
3222.0000,45,0.01355,0.51093,406.8,407.32
3236.0000,45,0.01355,0.51093,401.55,402.08
3250.0000,45,0.01355,0.51093,447.29,447.82
3264.0000,45,0.01355,0.51093,478.83,479.36
3278.0000,45,0.01355,0.51093,484.25,484.78
3292.0000,45,0.01355,0.51093,475,475.53
3306.0000,45,0.01355,0.51093,478.09,478.62
3320.0000,45,0.01355,0.51093,477.52,478.05
3334.0000,45,0.01355,0.51093,473.21,473.74
3348.0000,45,0.01355,0.51093,466.05,466.58
3362.0000,45,0.01355,0.51093,439.39,439.91
3376.0000,45,0.01355,0.51093,431.28,431.8
3390.0000,45,0.01355,0.51093,451.78,452.3
3404.0000,45,0.01355,0.51093,454.95,455.47
3418.0000,45,0.01355,0.51093,453.86,454.39
3432.0000,45,0.01355,0.51093,454.8,455.32
3446.0000,45,0.01355,0.51093,460.02,460.54
3460.0000,45,0.01355,0.51093,457.39,457.91
3474.0000,45,0.01355,0.51093,453.92,454.45
3488.0000,45,0.01355,0.51093,457.51,458.04
3502.0000,45,0.01355,0.51093,462.18,462.71
3516.0000,45,0.01355,0.51093,454.81,455.34
3530.0000,45,0.01355,0.51093,439.84,440.37
3544.0000,45,0.01355,0.51093,460.44,460.96
3558.0000,45,0.01355,0.51093,441.85,442.37
3572.0000,45,0.01355,0.51093,399.01,399.54
3586.0000,45,0.01355,0.51093,387.44,387.96
3600.0000,45,0.01355,0.51093,387.16,387.68
3614.0000,45,0.01355,0.51093,391.06,391.59
