R_p_ref T log_TiO
1.258923440528413540e+00 1.299669871873211378e+03 -5.139912909159980892e+00
1.233419670065266871e+00 2.580130296072636156e+03 -5.252059410382881488e+00
1.238964977220297081e+00 2.367314527812437518e+03 -4.830841093096774230e+00
1.234198242679939828e+00 2.313848833688145987e+03 -2.123701868838981710e+00
1.249131059251979980e+00 2.259428479847892504e+03 -5.706561166582169164e+00
1.252957461071775969e+00 2.683627422928090709e+03 -7.610627203766705762e+00
1.263009076334801417e+00 1.486243754707018070e+03 -5.434731918547909046e+00
1.262311937650403060e+00 1.462527713219487623e+03 -5.031985664970039629e+00
1.266658900196094173e+00 1.134627110387728180e+03 -4.094409727783657083e+00
1.257676792984515179e+00 1.239847340310348045e+03 -4.521034801355548360e+00
1.247999671803873278e+00 2.464590800997854785e+03 -6.133867514214824013e+00
1.250157377837132877e+00 1.712556428279157444e+03 -3.005652879309524295e+00
1.263486226520419198e+00 1.530450092554052162e+03 -6.311943806190594586e+00
1.250769384953936747e+00 2.501422809202993903e+03 -7.465457311496292547e+00
1.237493141156921661e+00 2.155091657470660721e+03 -4.656014103573934193e+00
1.236238952989280993e+00 2.048455146174580477e+03 -3.144446230742579118e+00
1.255124482069812863e+00 1.330262183020931388e+03 -4.495697988397804323e+00
1.249736413939831925e+00 1.899835383130034415e+03 -4.469407108455438760e+00
1.249272225990375240e+00 1.425291948036638587e+03 -3.574699276292305328e+00
1.238838000668126327e+00 1.848878212288150735e+03 -3.060512113344314500e+00
1.263299206079013581e+00 1.439893578412889156e+03 -5.278509227890642919e+00
1.236704061138785615e+00 2.077529582345366180e+03 -3.559330785970065136e+00
1.251799274071187629e+00 1.697183900592756345e+03 -5.628622161341406027e+00
1.247483070836095331e+00 2.567501319363846960e+03 -6.336512486975884428e+00
1.250784354154657496e+00 2.832424618946313785e+03 -7.772434639914246546e+00
1.256219765371084485e+00 1.760655879974365234e+03 -5.094156384468078613e+00
1.263973889571287534e+00 1.383727746796055953e+03 -5.166792838819345590e+00
1.253258584222417760e+00 1.494965706050254312e+03 -4.993957901732056115e+00
1.242985547838380445e+00 1.963350914068301563e+03 -2.681972798576888195e+00
1.241154659329794629e+00 2.806390031862814794e+03 -7.054217469567250376e+00
1.251979096637681366e+00 1.311643433031998711e+03 -3.430288906578040198e+00
1.252770701691791944e+00 2.607002621210063808e+03 -7.319874860732741517e+00
1.267341482765591110e+00 1.097047267350777929e+03 -5.047355119373657217e+00
1.256682816177427275e+00 1.484568696328032047e+03 -3.312229691292206013e+00
1.262891720952968866e+00 1.562555782805756053e+03 -6.055003444958870773e+00
1.244940431427320249e+00 2.849685359893791883e+03 -6.661651152260997577e+00
1.240190246983660538e+00 2.147860818121255761e+03 -5.220823428914201259e+00
1.249507113560375249e+00 2.011679196688283355e+03 -6.295625475631666745e+00
1.259005417951624795e+00 1.746072841880129090e+03 -6.671728966220304535e+00
1.260847430519862922e+00 1.326756430487640046e+03 -2.506794896522105631e+00
1.243332373174283578e+00 2.388678666635560148e+03 -6.446255242845094102e+00
1.259902066825373979e+00 1.048921818329899907e+03 -3.491079167795275495e+00
1.249936953183763411e+00 2.536766493773424372e+03 -7.429041425558936318e+00
1.240702136141510259e+00 2.096817199770823208e+03 -5.123820682620896960e+00
1.242216257799001022e+00 2.659770903372459543e+03 -5.954287871312972769e+00
1.256860346680706897e+00 2.191917820173518521e+03 -7.062554090312213262e+00
1.239184294170703193e+00 1.838037108491223080e+03 -2.794299290504259403e+00
1.238714411236123691e+00 2.734199064635684408e+03 -6.616087808443070095e+00
1.237732014186439855e+00 2.369924910684689166e+03 -4.800586335447510677e+00
1.259774496025332535e+00 1.798034598738382101e+03 -6.779802728491572061e+00
1.265639597113085824e+00 1.282692763323887448e+03 -5.385614771511658461e+00
1.263542484275527622e+00 1.100367840707734558e+03 -4.749543797497339348e+00
1.266779304591628019e+00 1.162762694592985554e+03 -4.829056502506026582e+00
1.265032550624933583e+00 1.284290729640174277e+03 -4.929250443338366594e+00
1.232213896975505873e+00 2.874992651324339931e+03 -5.796442267084547240e+00
1.242842748071032455e+00 1.894470126650252041e+03 -4.707691251789306364e+00
