R_p_ref T log_TiO
1.262009662303291924e+00 2.375174249632303599e+03 -9.283825186811101915e+00
1.252943477604135047e+00 2.047402871317269955e+03 -7.509542254918787130e+00
1.239217796471805855e+00 2.002896775877391974e+03 -2.418338706722366283e+00
1.264576144686341497e+00 2.154542326927185059e+03 -9.291101813316345215e+00
1.274385778393705371e+00 1.706365131662213344e+03 -1.056010879858804863e+01
1.265066510602832484e+00 1.139119551125564612e+03 -2.516575822813562624e+00
1.217117493923447924e+00 2.717892350839788833e+03 -4.844882621892121932e+00
1.221199425571015240e+00 2.703323397934372224e+03 -3.525083247012672061e+00
1.231654898279332278e+00 2.611784141261139212e+03 -4.606427531208107773e+00
1.273144476451703033e+00 1.392964273345992979e+03 -6.573544125192645637e+00
1.283232170355434354e+00 2.310022019025205282e+03 -1.069953319326637065e+01
1.273033029055257170e+00 2.147728787616096724e+03 -8.559421153076694821e+00
1.232146541104086612e+00 1.934091763528172578e+03 -2.953612686650425090e+00
1.284673129147565040e+00 1.798709908543607753e+03 -1.066531553458056436e+01
1.245638542294964735e+00 1.635331750697115467e+03 -4.959655837044802951e+00
1.272347360653854009e+00 2.047650533024938795e+03 -1.068028041543351847e+01
1.268891192502673126e+00 1.215089990095492112e+03 -7.654742042966529603e+00
1.271284896546393206e+00 2.316200341315512560e+03 -1.096423968095803581e+01
1.259606950529910341e+00 1.259351492098707467e+03 -5.844600701263360065e+00
1.281858135539559518e+00 1.030027196523418979e+03 -1.163106598506270117e+01
1.281511908718380832e+00 1.238522619486632266e+03 -8.133980983866193171e+00
1.285745772740245041e+00 1.240361928939819336e+03 -1.095971536636352539e+01
1.273330415496890522e+00 2.195306967336330672e+03 -1.179405741787436135e+01
1.283908098769232176e+00 1.952895889637705295e+03 -1.062379543809268156e+01
1.213920572486855587e+00 2.862280385643248792e+03 -3.027385429713907783e+00
1.285370167595376589e+00 1.015589964385424537e+03 -1.003010582152751518e+01
1.212054184530213741e+00 2.943531520930629085e+03 -3.122027937213367466e+00
1.251188961496949359e+00 2.884752631187438965e+03 -7.266208052635192871e+00
1.274812026029239043e+00 1.643077076257728095e+03 -1.030664964365560721e+01
1.251845119468956380e+00 2.438035644273379603e+03 -6.506994847369043100e+00
1.255342719276353325e+00 1.106385350650617283e+03 -3.210410898997615448e+00
1.280608769824118642e+00 2.888130577607085343e+03 -1.064094318544265505e+01
1.276817342493349328e+00 1.325557383498341096e+03 -9.894965327677965661e+00
1.238509635511980678e+00 1.967979756910110154e+03 -2.602897931319690272e+00
1.229672461779362846e+00 2.902694659895983932e+03 -6.599758480774064573e+00
1.206052713652319586e+00 2.922606921817425246e+03 -3.112444033913837060e+00
1.284854142101080843e+00 1.063968592320873768e+03 -1.133521343813529825e+01
1.284619805772603929e+00 2.164618742413978907e+03 -1.180575885025043625e+01
1.274835558766272747e+00 2.312378107222724338e+03 -9.126700347442840311e+00
1.239246087834632082e+00 2.892904485024520909e+03 -7.516742201308781901e+00
1.284252320489287502e+00 1.339096307754516602e+03 -9.889758348464965820e+00
1.276392880770942595e+00 1.259648236761676799e+03 -6.870700074665302637e+00
1.231253280199024358e+00 1.965780257004767464e+03 -3.234417006192250810e+00
1.284843220075965187e+00 1.110239028930664062e+03 -1.031763207912445068e+01
1.279498732466849864e+00 1.108632618624259976e+03 -9.867477170215021687e+00
1.284542225793927406e+00 1.455644451047180382e+03 -1.044137793469058550e+01
1.247014763025273920e+00 1.538216691306433404e+03 -4.620869367299163422e+00
1.284186629778097055e+00 1.041599468163544088e+03 -1.080463750864609729e+01
1.226977503656443647e+00 2.150085414351685358e+03 -3.847918080162779475e+00
1.284700101063287025e+00 1.138879432251281969e+03 -1.020138961233869423e+01
1.268126098712919259e+00 2.016446121481060345e+03 -9.498580494864217627e+00
1.262810742295641164e+00 1.234164867478980796e+03 -6.304301690024101568e+00
1.281280833475211711e+00 2.634427046908409466e+03 -1.063549501913541917e+01
1.238003090584131716e+00 2.891979634041927056e+03 -7.380827962217474614e+00
1.254902902156972200e+00 1.130588981723792358e+03 -3.082048233441069485e+00
1.240937485447526134e+00 2.051581025123596191e+03 -3.912845969200134277e+00
1.272525681251213570e+00 1.243756413024289031e+03 -5.884944296499551086e+00
1.215894726412962479e+00 2.699522844952480227e+03 -2.823508003513847342e+00
1.231606382540519906e+00 2.367628961109907323e+03 -3.828417268243514471e+00
1.272001410909866070e+00 1.189749586053650546e+03 -8.092116186173532455e+00
1.282760611144647234e+00 1.139747045566834913e+03 -8.527544670013361028e+00
1.263066166957811820e+00 2.132058129765541707e+03 -8.914652892087566727e+00
1.279625837703485480e+00 1.382509758553185065e+03 -1.138443122973345645e+01
1.283124439084023738e+00 1.461323622897752102e+03 -9.758149605550563876e+00
1.241614880113278474e+00 1.805500091699486347e+03 -2.496058640124259043e+00
1.232023205135837296e+00 2.609179525090322386e+03 -4.719174454962962173e+00
1.278857801682553363e+00 1.407082292116504277e+03 -1.090742320554271494e+01
1.265268172467317598e+00 1.095112686161057354e+03 -2.590952955498654120e+00
1.276406024854181975e+00 1.236632975942156918e+03 -6.859801628620036063e+00
1.277979896826634931e+00 1.254572834833371644e+03 -9.755623570860151972e+00
1.277571967420373600e+00 2.836873045238882696e+03 -1.012593090495719927e+01
1.261634920038151364e+00 1.221111849657742596e+03 -2.241840160805487869e+00
1.233376532152826943e+00 2.548011238225035868e+03 -6.201214980284716738e+00
1.277592163503877387e+00 1.409056091538999681e+03 -7.839280148898961187e+00
1.220821503889934601e+00 2.718106866632294441e+03 -5.210286878653692000e+00
1.278673642148419276e+00 1.440618632369487386e+03 -8.214081118816711324e+00
1.230687273247015545e+00 2.172812831558465405e+03 -2.711989380245418246e+00
1.279868863777049004e+00 1.183847133277325611e+03 -1.005657151011758543e+01
1.249341675600409651e+00 1.782133221626281738e+03 -6.087321758270263672e+00
1.281739944939942033e+00 2.613061104690869797e+03 -1.080066828163403159e+01
1.281326490404185225e+00 1.117830440637890433e+03 -7.866154508113459620e+00
1.264985230712418085e+00 1.657359893356060866e+03 -8.175586146399387744e+00
1.205459911426902009e+00 2.948953032493591309e+03 -3.252462863922119141e+00
1.222806287923810631e+00 2.706873703762117657e+03 -5.402838604614897733e+00
1.250599828241441669e+00 1.368512829883696668e+03 -4.257760922033433815e+00
1.270577697871773548e+00 2.291712423034565745e+03 -1.043205070319733707e+01
1.283108467602094516e+00 1.172385247159826577e+03 -1.088420712979754690e+01
1.274883810623423042e+00 1.138277505194291507e+03 -8.498077768272050747e+00
1.277959084835529779e+00 2.928721637788607495e+03 -1.027064824915756347e+01
1.261606593834412315e+00 1.153877078517749624e+03 -5.528879297129518200e+00
1.264919508710376395e+00 1.725128914976581200e+03 -8.324804141846669836e+00
1.283642645078409306e+00 1.247320356519368033e+03 -1.101801422252580132e+01
1.262868860794155390e+00 1.063474268447320810e+03 -2.069774286516850026e+00
1.265029918093105277e+00 1.744862065758690051e+03 -8.381239430358084164e+00
1.228687802702177478e+00 2.106637038565369949e+03 -3.036474138347792007e+00
1.258577175995707620e+00 2.303706288337707520e+03 -8.594470143318176270e+00
1.280021257274867263e+00 1.208724991161509706e+03 -1.007605230159296639e+01
1.257671291517894474e+00 2.289304094191956210e+03 -8.459295288495052745e+00
1.284255845460616330e+00 1.799793726277299811e+03 -1.179579369633870733e+01
1.269691516055142078e+00 2.750388655713381013e+03 -1.105901233170757259e+01
1.276736956233195164e+00 1.789455932140603181e+03 -1.147553851784666534e+01
1.284028440764463319e+00 2.111940611183227702e+03 -1.195649124046805589e+01
1.277986794642871349e+00 1.379185634093962108e+03 -1.010710541308213806e+01
1.283134527686057291e+00 1.288593616478671947e+03 -1.148792352365958891e+01
1.279957001981584241e+00 1.336448502641087543e+03 -1.069989970751121255e+01
1.270523994988203231e+00 2.589927077293395996e+03 -1.099401128292083740e+01
1.282886657153572196e+00 1.635172191284296332e+03 -1.017590439293818072e+01
1.235017097515516804e+00 1.988057235610433281e+03 -2.712977594835832562e+00
1.273864898187015537e+00 2.175805115148452387e+03 -1.132408867114492246e+01
1.278602549199740146e+00 1.560139532291917476e+03 -1.137989827789253816e+01
1.282679524717611486e+00 1.195589026653072779e+03 -1.048507484693228697e+01
1.276782011827826802e+00 1.516088008880615234e+03 -1.019252908229827881e+01
1.224414899996643769e+00 2.332931754547636956e+03 -4.304608225564273916e+00
1.283841242797695292e+00 1.885595886202919701e+03 -1.123000694804463961e+01
1.274902345325146680e+00 1.540340403319590223e+03 -9.707922472457573448e+00
1.281436077480316627e+00 1.505468788321657030e+03 -9.335090956079964641e+00
1.244829840235669227e+00 2.419656970328480384e+03 -7.189181204336965614e+00
1.275689902929753039e+00 1.467455368627115149e+03 -9.680793375056282457e+00
1.281999770224144575e+00 1.524524463076525308e+03 -9.634878747345192451e+00
1.283144191343534857e+00 1.378051809489265679e+03 -1.011925445051660866e+01
1.230311707540782784e+00 2.079159259415748238e+03 -2.941336717624118080e+00
1.257876160765193596e+00 1.564695910002560822e+03 -4.597446699324555297e+00
1.273987418620682988e+00 2.123256989950881234e+03 -1.110017968515762199e+01
1.254535784571379819e+00 1.164082487793386008e+03 -3.148524478686541173e+00
1.256337647980451777e+00 2.197780251502990723e+03 -8.105420589447021484e+00
1.283650505367118555e+00 2.238789814545787522e+03 -1.189765652263283080e+01
1.281778647543017291e+00 1.310485520005983290e+03 -1.085835830113090594e+01
1.281258498269687518e+00 1.409021671184894331e+03 -1.166023166590284532e+01
1.280734137071981138e+00 1.458938245511676996e+03 -1.192910978164375990e+01
1.268152276389460376e+00 1.848054247232053967e+03 -7.362129204595992071e+00
1.247596645063162146e+00 2.524814367294311523e+03 -7.687234401702880859e+00
1.279973412191926618e+00 1.349187717078056266e+03 -1.041764934683983412e+01
1.217593179852167085e+00 2.543990637830023388e+03 -4.021636530367473483e+00
1.225150967365858046e+00 2.380059802374402352e+03 -2.996418486599580433e+00
1.265895704244519360e+00 1.202403629208647089e+03 -6.660743085112560635e+00
1.212424890836114821e+00 2.911028999835388731e+03 -3.296309445802497962e+00
1.229401997047609107e+00 2.209335052656838798e+03 -2.910000832961994632e+00
